transaction_id,date,store_id,region,product_id,category,price,quantity,discount_pct,amount,gender,age_group,payment_method,is_promo_period
1,2025-01-01,7,Москва,18,Лекарства (без рецепта),359.03,5,0.0,1795.15,Женский,31-45,Онлайн,0
2,2025-01-01,16,Казань,34,Лекарства (без рецепта),247.64,4,0.0,990.56,Женский,60+,Наличные,0
3,2025-01-01,5,Москва,2,Лекарства (рецепт),518.76,1,0.0,518.76,Мужской,46-60,Карта,0
4,2025-01-01,4,Москва,22,Лекарства (без рецепта),296.25,6,0.0,1777.5,Женский,31-45,Онлайн,0
5,2025-01-01,9,Санкт-Петербург,32,Лекарства (без рецепта),321.04,10,0.0,3210.4,Женский,31-45,Онлайн,0
6,2025-01-01,8,Москва,46,Косметика и гигиена,312.96,2,0.0,625.92,Мужской,31-45,Наличные,0
7,2025-01-01,19,Новосибирск,2,Лекарства (рецепт),518.76,4,0.0,2075.04,Мужской,18-30,Наличные,0
8,2025-01-01,11,Санкт-Петербург,47,Косметика и гигиена,202.36,5,0.0,1011.8,Женский,46-60,Онлайн,0
9,2025-01-01,16,Казань,17,Лекарства (без рецепта),223.04,8,0.0,1784.32,Женский,18-30,Карта,0
10,2025-01-01,13,Санкт-Петербург,47,Косметика и гигиена,202.36,8,0.0,1618.88,Женский,18-30,Наличные,0
11,2025-01-01,8,Москва,47,Косметика и гигиена,202.36,6,0.0,1214.16,Мужской,31-45,Онлайн,0
12,2025-01-01,7,Москва,20,Лекарства (без рецепта),325.54,4,0.0,1302.16,Женский,31-45,Онлайн,0
13,2025-01-01,11,Санкт-Петербург,59,БАД и витамины,728.23,1,0.0,728.23,Мужской,31-45,Онлайн,0
14,2025-01-01,3,Москва,41,Косметика и гигиена,318.23,2,0.0,636.46,Женский,18-30,Карта,0
15,2025-01-01,10,Санкт-Петербург,42,Косметика и гигиена,245.36,5,0.0,1226.8,Мужской,46-60,Наличные,0
16,2025-01-01,16,Казань,49,Косметика и гигиена,384.98,1,0.0,384.98,Женский,46-60,Карта,0
17,2025-01-01,9,Санкт-Петербург,24,Лекарства (без рецепта),295.65,2,0.0,591.3,Женский,60+,Онлайн,0
18,2025-01-01,18,Новосибирск,22,Лекарства (без рецепта),296.25,7,0.0,2073.75,Мужской,60+,Карта,0
19,2025-01-01,17,Новосибирск,30,Лекарства (без рецепта),347.78,4,0.0,1391.12,Женский,18-30,Карта,0
20,2025-01-01,2,Москва,28,Лекарства (без рецепта),235.28,10,0.0,2352.8,Мужской,31-45,Онлайн,0
21,2025-01-01,2,Москва,33,Лекарства (без рецепта),335.53,2,0.0,671.06,Мужской,60+,Онлайн,0
22,2025-01-01,4,Москва,48,Косметика и гигиена,234.26,8,0.0,1874.08,Мужской,18-30,Онлайн,0
23,2025-01-01,18,Новосибирск,9,Лекарства (рецепт),319.32,5,0.0,1596.6,Женский,46-60,Онлайн,0
24,2025-01-01,2,Москва,4,Лекарства (рецепт),386.79,4,0.0,1547.16,Женский,18-30,Онлайн,0
25,2025-01-01,14,Казань,10,Лекарства (рецепт),414.76,1,0.0,414.76,Женский,31-45,Наличные,0
26,2025-01-01,13,Санкт-Петербург,27,Лекарства (без рецепта),257.62,9,0.0,2318.58,Женский,31-45,Онлайн,0
27,2025-01-01,11,Санкт-Петербург,8,Лекарства (рецепт),329.77,1,0.0,329.77,Женский,46-60,Карта,0
28,2025-01-01,1,Москва,22,Лекарства (без рецепта),296.25,7,0.0,2073.75,Женский,31-45,Онлайн,0
29,2025-01-01,7,Москва,65,БАД и витамины,469.32,1,0.0,469.32,Мужской,46-60,Онлайн,0
30,2025-01-01,8,Москва,46,Косметика и гигиена,312.96,4,0.0,1251.84,Женский,18-30,Наличные,0
31,2025-01-01,18,Новосибирск,44,Косметика и гигиена,392.07,2,0.0,784.14,Мужской,31-45,Онлайн,0
32,2025-01-01,5,Москва,17,Лекарства (без рецепта),223.04,2,0.0,446.08,Мужской,60+,Карта,0
33,2025-01-01,4,Москва,14,Лекарства (рецепт),458.37,2,0.0,916.74,Мужской,60+,Наличные,0
34,2025-01-01,19,Новосибирск,48,Косметика и гигиена,234.26,2,0.0,468.52,Мужской,46-60,Онлайн,0
35,2025-01-01,7,Москва,39,Косметика и гигиена,404.74,5,0.0,2023.7,Женский,18-30,Онлайн,0
36,2025-01-01,19,Новосибирск,45,Косметика и гигиена,408.22,4,0.0,1632.88,Мужской,31-45,Карта,0
37,2025-01-01,22,Екатеринбург,34,Лекарства (без рецепта),247.64,3,0.0,742.92,Женский,18-30,Онлайн,0
38,2025-01-01,12,Санкт-Петербург,28,Лекарства (без рецепта),235.28,3,0.0,705.84,Женский,31-45,Карта,0
39,2025-01-01,1,Москва,4,Лекарства (рецепт),386.79,4,0.0,1547.16,Женский,46-60,Онлайн,0
40,2025-01-01,21,Екатеринбург,65,БАД и витамины,469.32,3,0.0,1407.96,Женский,46-60,Онлайн,0
41,2025-01-01,20,Екатеринбург,12,Лекарства (рецепт),403.77,3,0.0,1211.31,Женский,46-60,Наличные,0
42,2025-01-01,20,Екатеринбург,65,БАД и витамины,469.32,2,0.0,938.64,Женский,31-45,Карта,0
43,2025-01-01,13,Санкт-Петербург,15,Лекарства (рецепт),465.24,2,0.0,930.48,Женский,60+,Карта,0
44,2025-01-01,10,Санкт-Петербург,41,Косметика и гигиена,318.23,6,0.0,1909.38,Женский,60+,Наличные,0
45,2025-01-01,18,Новосибирск,28,Лекарства (без рецепта),235.28,8,0.0,1882.24,Женский,18-30,Онлайн,0
46,2025-01-01,8,Москва,32,Лекарства (без рецепта),321.04,2,0.0,642.08,Женский,18-30,Карта,0
